player,pos,team,rebounds,assists,steals,blocks,points
Sheldon Mac,SG,WAS,34,15,8,2,90
Shelvin Mack,PG,UTA,125,154,42,3,430
Ian Mahinmi,C,WAS,150,19,33,24,173
Thon Maker,C,MIL,114,23,10,26,226
Boban Marjanovic,C,DET,130,9,6,12,191
Jarell Martin,PF,MEM,162,8,17,9,165
Wesley Matthews,SG,DAL,259,210,77,15,986
Luc Mbah a Moute,SF,LAC,170,39,81,35,484
James Michael McAdoo,PF,GSW,91,18,18,29,147
Patrick McCaw,SG,GSW,100,77,32,15,282
C.J. McCollum,SG,POR,289,285,72,42,1837
T.J. McConnell,PG,PHI,251,534,134,10,556
Chris McCullough,PF,TOT,19,2,2,2,36
K.J. McDaniels,SF,TOT,82,13,19,18,206
Doug McDermott,SF,TOT,179,58,13,5,592
JaVale McGee,C,GSW,244,17,19,67,472
Rodney McGruder,SG,MIA,256,124,46,18,497
Ben McLemore,SG,SAC,129,51,29,6,495
Jordan McRae,SG,CLE,41,19,8,6,161
Josh McRoberts,PF,MIA,74,50,10,4,107
Jodie Meeks,SG,ORL,77,45,34,4,327
Salah Mejri,C,DAL,308,14,32,61,213
Jordan Mickey,PF,BOS,34,7,3,6,38
Khris Middleton,SF,MIL,123,99,41,7,426
C.J. Miles,SF,IND,229,48,46,25,815
Mike Miller,SF,DEN,38,22,2,0,28
Patty Mills,PG,SAS,141,280,65,3,759
Elijah Millsap,SG,PHO,6,1,0,0,3
Paul Millsap,PF,ATL,533,252,90,62,1246
Nikola Mirotic,PF,CHI,384,75,53,55,744
Greg Monroe,C,MIL,532,187,92,38,951
E'Twaun Moore,SG,NOP,152,164,50,32,700
Marcus Morris,SF,DET,366,160,52,25,1105
Markieff Morris,PF,WAS,493,126,82,42,1063
Anthony Morrow,SG,TOT,31,25,24,2,271
Donatas Motiejunas,PF,NOP,101,32,18,11,150
Timofey Mozgov,C,LAL,264,43,16,31,401
Emmanuel Mudiay,PG,DEN,178,217,41,13,603
Shabazz Muhammad,SF,MIN,220,35,22,6,772
Dejounte Murray,PG,SAS,42,48,8,6,130
