Player,Pos,Tm,TRB,AST,STL,BLK,PTS
Johnny O'Bryant,PF,TOT,19,6,0,1,38
Chris McCullough,PF,TOT,19,2,2,2,36
Pierre Jackson,PG,DAL,9,19,2,0,35
Jerryd Bayless,PG,PHI,12,13,0,0,33
Nick Collison,PF,OKC,31,12,2,2,33
Udonis Haslem,C,MIA,36,6,6,1,31
Tim Quarterman,SG,POR,14,11,2,3,31
Chris Andersen,C,CLE,31,5,5,7,28
Mike Miller,SF,DEN,38,22,2,0,28
Joel Anthony,C,SAS,31,3,2,6,25
Ryan Kelly,PF,ATL,18,8,4,5,25
Jarell Eddie,SF,PHO,7,0,1,0,24
Daniel Ochefu,C,WAS,22,3,2,0,24
Joel Bolomboy,PF,UTA,17,2,1,2,22
Georges Niang,PF,IND,17,5,3,0,21
Gary Payton,PG,MIL,12,13,3,4,20
Damian Jones,C,GSW,23,0,1,4,19
Bruno Caboclo,SF,TOR,10,4,2,1,14
Marcus Georges-Hunt,SG,ORL,9,3,1,0,14
Josh Huestis,PF,OKC,9,3,0,3,14
Chinanu Onuaku,C,HOU,10,3,3,1,14
Ronnie Price,PG,PHO,11,18,11,1,14
Jordan Farmar,PG,SAC,3,9,2,0,12
Justin Harper,PF,PHI,5,2,0,0,12
Jordan Hill,C,MIN,14,0,1,0,12
Alonzo Gee,SF,DEN,15,6,5,1,11
Demetrius Jackson,PG,BOS,4,3,0,0,10
Dahntay Jones,SF,CLE,2,1,0,0,9
Lamar Patterson,SG,ATL,7,6,1,0,9
Manny Harris,SG,DAL,9,2,0,0,8
John Jenkins,SG,PHO,1,1,0,0,7
Jarrett Jack,PG,NOP,0,5,2,0,6
Steve Novak,PF,MIL,3,0,0,0,5
Michael Gbinije,SG,DET,3,2,0,0,4
Brice Johnson,PF,LAC,3,1,2,1,4
Gary Neal,SG,ATL,1,1,0,0,4
Arinze Onuaku,C,ORL,6,2,0,1,4
Larry Sanders,C,CLE,4,0,1,1,4
Elijah Millsap,SG,PHO,6,1,0,0,3
John Lucas III,PG,MIN,0,1,2,0,2
Aaron Harrison,SG,CHO,3,3,0,0,1
Ben Bentil,PF,DAL,2,0,0,0,0
Patricio Garino,SG,ORL,7,0,0,0,0
Danuel House,SG,WAS,1,0,0,0,0
R.J. Hunter,SG,CHI,1,0,0,0,0
